institution,credit_code,category,pillar,credit_name,section,field,value,units,value_numeric,value_type
"University of California, Berkeley",PRE-1,PRE,Preface,Executive Letter,,Executive cover letter,STARS_3.0_Executive_letter.pdf,,,text
"University of California, Berkeley",PRE-1,PRE,Preface,Executive Letter,,Notes about the information provided for this credit,"Meghan Fay Zahniser, Executive Director Association for the Advancement of Sustainability in Higher Education 2401 Walnut Street, Suite 102 Philadelphia, PA 19103 Dear Executive Director Zahniser: On behalf of the University of California, Berkeley, I am pleased to submit our documentation for AASHE’s Sustainability Tracking, Assessment, and Rating System (STARS), version 3.0. This submission represents a comprehensive and accurate account of our sustainability initiatives to the best of our knowledge at the time of submission. UC Berkeley’s 150-year commitment to the greater good drives our renowned scholarship and environmental solutions, making us one of the greenest public higher education institutions in the world. Deep campus engagement in environmental issues has been integral to our progress in sustainability. We are especially proud of the achievements of our students, faculty, and staff, which reflect our enduring spirit of innovation. Our core mission of teaching, research, and public service provides a unique opportunity to use the campus as a living laboratory for sustainability. UC Berkeley is consistently rated the top school in the world for environmental sciences, with departments across the campus—not just the renowned Rausser College of Natural Resources—producing groundbreaking scholarship. Offering over 900 sustainability-focused courses, we emphasize integrating sustainability across disciplines to foster sustainability literacy among our students. Our research laboratories are world leaders in advancing our understanding of climate change, as well as developing energy, environmental, and social solutions to address global challenges in the decades to come. Meanwhile, UC Berkeley’s vibrant environmental community embodies a diverse and inclusive culture of sustainability, celebrating diverse narratives while fostering problem-solving, interdisciplinarity, and leadership. Over 50 sustainability-related student groups and countless faculty initiatives engage in activities that drive institutional change. UC Berkeley’s sustainability commitment is reflected in our operations. We are accelerating a just and equitable transition to a resilient, clean energy, zero-carbon campus. This includes the design of a transformational project to replace our cogeneration heating infrastructure with a fully electrified system, dramatically reducing reliance on fossil fuels. We are on track to eliminate single-use plastics and offer viable alternatives by 2030, and we have infused sustainability into dining services with third-party-certified sustainably sourced meat, seafood, and plant-forward menus. Additionally, our campus lands are managed with virtually no chemicals or pesticides, demonstrating a holistic approach to sustainability. Throughout its history, UC Berkeley has stepped up to meet the challenges of the moment. Today, we continue to lead by setting ambitious goals and implementing cutting-edge strategies to address the pressing carbon reduction and clean energy transitions required. Our participation in STARS 3.0 reflects our commitment to advancing sustainability on campus and beyond. This version’s more rigorous framework underscores our dedication to tackling complex sustainability challenges while holding ourselves accountable to the highest standards. Building on the success of our previous STARS submission, we are proud to showcase our continued progress while identifying areas for future growth. This process highlights UC Berkeley’s efforts to integrate sustainability into our operations, academics, and community engagement. Thank you for the opportunity to partner with AASHE as we work toward making higher education a model for the transformative change our world urgently requires. Sincerely, Marc Fisher Vice Chancellor Administration",,,text_long
"University of California, Berkeley",PRE-2,PRE,Preface,Points of Distinction,,"Name of the institution’s featured sustainability program, initiative, or accomplishment",Berkeley Clean Energy Campus,,,text
"University of California, Berkeley",PRE-2,PRE,Preface,Points of Distinction,,"Narrative and/or website URL providing an overview of the institution’s featured program initiative, or accomplishment","UC Berkeley has been a leader in climate action for more than 15 years. Advancing its efforts further, the campus announced the Berkeley Clean Energy Campus, an ambitious project that will be its most significant climate effort to date. The project will create an entirely new energy microgrid for the campus that will be fully electric and largely eliminate the largest source of campus-related carbon emissions, a natural gas-fueled cogeneration plant that is nearing end-of-life. The new campus energy system will support increased operations, enrollment, and research efforts well into the future. The core of the Berkeley Clean Energy Campus project is replacement of the existing natural gas-fueled cogeneration plant with an electrified heat recovery system, including a centralized heating plant, geothermal wells, and thermal energy storage. A campus-wide steam distribution network from the cogeneration plant would be decommissioned and replaced with new hot and chilled water loops that provide more efficient heating and cooling to campus buildings. The buildings themselves will be converted to allow for the new water supply. Future phases of the Berkeley Clean Energy Campus will allow for implementation of distributed energy resources, including solar PV, battery storage, and generators, providing the campus far greater resilience capabilities. The Berkeley Clean Energy Campus aligns with the State of California’s and the University of California’s aggressive climate goals. The project will serve as a global model and demonstrate that large-scale greenhouse gas reductions can be successfully achieved in a relatively short time frame. The Integrated Resource and Activation Plan (IRAP) envisions this transformation could be undertaken in two phases that would reduce campus carbon emissions (Scope 1 and Scope 2) 85% by 2035. Supported by a $249 million lead capital investment by the State of California, the Berkeley Clean Energy Campus project is progressing on schedule. Design and engineering studies are underway. The UC Board of Regents has approved pre-construction funding for the first phase and, following approval of the project’s final design and environmental review, construction is slated to begin in 2026. URL: https://cleanenergycampus.berkeley.edu/ Credit: OP-5: Energy Use",,,text_long
"University of California, Berkeley",PRE-2,PRE,Preface,Points of Distinction,,"A photograph or document associated with the featured program, initiative, or accomplishment",,,,not_reported
"University of California, Berkeley",PRE-2,PRE,Preface,Points of Distinction,,"Name of a second featured sustainability program, initiative, or accomplishment",Single-Use Plastic Elimination Policy,,,text
"University of California, Berkeley",PRE-2,PRE,Preface,Points of Distinction,,"Narrative and/or website URL providing an overview of the second featured program initiative, or accomplishment","In April 2020, then-UC Berkeley Chancellor Carol Christ announced the country's most ambitious commitment to eliminating single-use plastics. The initiative aims to phase out all non-essential single-use plastics with viable alternatives by 2030. Unlike typical plastic bans that target items like bottles, foodware, and plastic bags, UC Berkeley's approach addresses a broader range of products and packaging used across academics, research, administration, giveaways, and events. This includes commonly overlooked items such as chip bags, laboratory plastics, and packaging. By tackling these challenges, the initiative promotes upstream circular economy solutions, transitions to reusable alternatives, and reinforces UC Berkeley’s leadership in sustainability and zero-waste practices. The campus has formed a Single Use Plastics Working Group made up of diverse campus stakeholders to develop key strategies in purchasing, contracts, and tasked to create a roadmap to meet the 2030 goal. Single-Use Plastics Elimination Projects: Reusable Cups at California Memorial Stadium: Implemented for the football season. UC Phasing Out Single-Use Plastics Zero Waste Catering Competition: Challenged caterers to create a nutritious meal using a reusable container. Article Pepsi Vending Machine Stickers: Promoting and educating about the elimination of single-use plastics. Researching Circularity for Plastic Mailers: Collaboration with UC Berkeley Strategic Sourcing, Amazon, and Dow. Sustainable Water Packaging: Working with Amazon and Blaisdells Business Products to source aluminum bottles and cans for campus use. Reusable Graduation Gown Program: Transitioning to a rental model, with full implementation planned for 2026. Zero Waste Lab Program: Partnering with Polycarbin to recycle single-use lab plastics and repurchase recycled products. Reusable To-Go Ware Expansion: Partnering with Buoy and Foodware at multiple campus cafes. Plastic Bottle Elimination in Retail & Vending: Implementation of aluminum bottle options, except for some Gatorade products. Reusable Catering Initiatives: Goldman School of Public Policy and Berkeley Catering piloted reusable Buoy containers for student orientation. Berkeley Dining Initiatives: Providing reusable utensil kits to all students and transitioning away from compostable plastics. Strategic Sourcing’s Reusables Initiative: Staff provided with reusable dishware and utensil kits for events. Campus-Wide Reusable Washing Infrastructure: The SUP Elimination Working Group and ASUC are developing centralized washing stations. Zero Waste Lab: Students support zero-waste initiatives, including dining hall waste reduction and sustainable product research. Haas School of Business Highlights: The Evening and Weekend MBA Program has successfully used real cutlery for Saturday lunches, eliminating an estimated 13,600 single-use plastic flatware items over the past year. Chou Hall achieved Zero Waste TRUE certification. The Haas group collaborates with Fill it Forward, achieving 3,629 scans for Berkeley Haas. To date, 11.5k FoodWare reusable containers have been used. Policy language: https://drive.google.com/file/d/1rQ1b44LSIgHolMzRDpqSRMWVGnFZkg1M/view Press release: https://sustainability.berkeley.edu/news/university-california-berkeley-leads-way-country%E2%80%99s-strongest-single-use-plastic-ban URL: https://sustainability.berkeley.edu/zero-waste URL: zerowaste.berkeley.edu Credits: OP-12: Waste Generation and Recovery, OP-11: Materials Management",,,text_long
"University of California, Berkeley",PRE-2,PRE,Preface,Points of Distinction,,"A photograph or document associated with the second featured program, initiative, or accomplishment",,,,not_reported
"University of California, Berkeley",PRE-2,PRE,Preface,Points of Distinction,,"Name of a third featured sustainability program, initiative, or accomplishment",Herbicide-Free UC,,,text
"University of California, Berkeley",PRE-2,PRE,Preface,Points of Distinction,,"Narrative and/or website URL providing an overview of the third featured program initiative, or accomplishment","Herbicide-Free UC works to eliminate the use of toxic herbicides across all University of California campuses through three main strategies: Gardener Support & Engagement, Student Education, and Research. The campaign empowers students to build strong relationships with campus gardeners, understand landscaping needs, and provide the specific information and resources gardeners require to reduce herbicide use. It also offers support in the form of data, student engagement, financial assistance, and training in alternative maintenance methods. To institutionalize these efforts, Herbicide-Free UC helps develop consensus-based policies and a system-wide best practices guide to support sustainable landscaping at UC campuses. Herbicide-Free Campus was co-founded by Mackenzie Feldman and Bridget Gustafson at UC Berkeley in 2017. Their advocacy led to a major milestone in May 2019, when the University of California banned glyphosate-based herbicides at all UC locations. UC President Janet Napolitano cited ""concerns about possible human health and ecological hazards"" as the reason for this decision. Since then, UC Berkeley’s Landscape Services department has eliminated the use of glyphosate-based herbicides and minimized the use of all other herbicides. For the past three years, herbicide use on the core campus has been nearly eliminated. Instead, gardeners and the Landscape Services team manage weeds through alternative methods such as sheet mulching, hand-pulling, fogging, and seasonal weed whipping. These efforts are supported by student groups, volunteers, and contractors who assist with manual weed removal. Additionally, the department exclusively uses organic fertilizers for turf maintenance, and 10 gardeners have earned certification in regenerative landscape management, directly advancing Herbicide-Free UC’s goals of education and training. Herbicide-free practices across the UC system are now overseen by the Systemwide Pesticide Oversight Committee (SPOC). This committee, which includes experts in agriculture, toxicology, environmental health, sustainability, and facilities management, implements the recommendations of the 2020 Herbicide Task Force report and manages UC’s Integrated Pest Management Policy. SPOC also monitors pesticide use and reports on system-wide practices. UC Berkeley’s leadership in sustainable landscaping was featured on KPFA 94.1’s Terra Verde show on November 22, 2024. During the interview, Lydia Woltjer and Mackenzie Feldman highlighted organic landscaping practices and how they have shifted the campus toward regenerative and sustainable solutions. Together, Herbicide-Free UC, gardeners, and the Landscape Services department continue to champion non-toxic, ecologically responsible landscaping practices across the University of California system. UC Herbicide Task Force Report and Recommendations: https://www.ucop.edu/safety-and-loss-prevention/_files/groups/herbicide-task-force-report.pdf Systemwide Pesticide Oversight Committee: https://www.ucop.edu/safety-and-loss-prevention/environmental/groups/spoc.html#:~:text=The%20University%20of%20California%20Systemwide,%2C%20Sustainability%2C%20and%20Facilities%20Management . Herbicide Free Campus: https://www.herbicidefreecampus.org/ Article, ""UC system suspends glyphosate herbicide use in light of student campaign"": https://www.dailycal.org/2019/05/23/uc-system-suspends-glyphosate-herbicide-use-in-light-of-student-campaign/ Other press: https://www.independentsciencenews.org/news/university-of-california-system-halts-use-of-glyphosate-herbicide/#:~:text=University%20of%20California%20President%20Janet,over%20700%20other%20commercial%20herbicides . URL: https://facilities.berkeley.edu/herbicide-free-uc ReWild Organic Ground Certification Gold Level Credit: OP-4: Ecologically Managed Grounds",,,text_long
