institution,stars_version,pillar,category,category_code,credit_code,credit_name,status,score,max
"University of California, Berkeley",3.0,Preface,Report Preface,PRE,PRE-1,Executive Letter,Complete,,
"University of California, Berkeley",3.0,Preface,Report Preface,PRE,PRE-2,Points of Distinction,Complete,,
"University of California, Berkeley",3.0,Preface,Report Preface,PRE,PRE-3,Institutional Characteristics,Complete,,
"University of California, Berkeley",3.0,Preface,Report Preface,PRE,PRE-4,Reporting Methodologies,Complete,,
"University of California, Berkeley",3.0,Context,Academics,AC,AC-1,Sustainability Course Offerings,Complete,13.01,14.0
"University of California, Berkeley",3.0,Context,Academics,AC,AC-2,Undergraduate Programs,Complete,10.22,15.0
"University of California, Berkeley",3.0,Context,Academics,AC,AC-3,Graduate Programs,Complete,8.0,8.0
"University of California, Berkeley",3.0,Context,Academics,AC,AC-4,Applied Learning,Complete,4.0,4.0
"University of California, Berkeley",3.0,Context,Academics,AC,AC-5,Sustainability Literacy Assessment,Complete,4.0,4.0
"University of California, Berkeley",3.0,Context,Academics,AC,AC-6,Sustainability Research,Complete,7.35,10.0
"University of California, Berkeley",3.0,Context,Academics,AC,AC-7,Center for Sustainability Research,Complete,6.0,6.0
"University of California, Berkeley",3.0,Context,Academics,AC,AC-8,Responsible Research and Innovation,Complete,7.0,7.0
"University of California, Berkeley",3.0,Context,Engagement,EN,EN-1,Outreach and Communications,Complete,5.0,5.0
"University of California, Berkeley",3.0,Context,Engagement,EN,EN-2,Co-Curricular Activities,Complete,9.0,9.0
"University of California, Berkeley",3.0,Context,Engagement,EN,EN-3,Staff Engagement and Training,Complete,8.0,8.0
"University of California, Berkeley",3.0,Context,Engagement,EN,EN-4,Sustainability Culture Assessment,Complete,1.25,3.0
"University of California, Berkeley",3.0,Context,Engagement,EN,EN-5,Civic Engagement,Complete,8.0,8.0
"University of California, Berkeley",3.0,Context,Engagement,EN,EN-6,Community Partnerships,Complete,9.0,9.0
"University of California, Berkeley",3.0,Context,Engagement,EN,EN-7,Continuing Education,Complete,3.0,3.0
