institution,category_code,category,credit_code,credit_name,status,score,max
University College Cork,PRE,Report Preface,PRE-1,Executive Letter,Complete,,
University College Cork,PRE,Report Preface,PRE-2,Points of Distinction,Complete,,
University College Cork,PRE,Report Preface,PRE-3,Institutional Characteristics,Complete,,
University College Cork,PRE,Report Preface,PRE-4,Reporting Methodologies,Complete,,
University College Cork,AC,Academics,AC-1,Sustainability Course Offerings,Complete,14.0,14.0
University College Cork,AC,Academics,AC-2,Undergraduate Programs,Complete,14.69,15.0
University College Cork,AC,Academics,AC-3,Graduate Programs,Complete,7.09,8.0
University College Cork,AC,Academics,AC-4,Applied Learning,Complete,4.0,4.0
University College Cork,AC,Academics,AC-5,Sustainability Literacy Assessment,Complete,2.25,4.0
University College Cork,AC,Academics,AC-6,Sustainability Research,Complete,10.0,10.0
University College Cork,AC,Academics,AC-7,Center for Sustainability Research,Complete,6.0,6.0
University College Cork,AC,Academics,AC-8,Responsible Research and Innovation,Complete,7.0,7.0
University College Cork,EN,Engagement,EN-1,Outreach and Communications,Complete,5.0,5.0
University College Cork,EN,Engagement,EN-2,Co-Curricular Activities,Complete,9.0,9.0
University College Cork,EN,Engagement,EN-3,Staff Engagement and Training,Complete,8.0,8.0
University College Cork,EN,Engagement,EN-4,Sustainability Culture Assessment,Complete,1.5,3.0
University College Cork,EN,Engagement,EN-5,Civic Engagement,Complete,7.0,8.0
University College Cork,EN,Engagement,EN-6,Community Partnerships,Complete,8.0,9.0
University College Cork,EN,Engagement,EN-7,Continuing Education,Complete,3.0,3.0
University College Cork,EN,Engagement,EN-8,Shared Facilities,Complete,2.0,2.0
University College Cork,EN,Engagement,EN-9,Inter-Campus Collaboration,Complete,3.0,3.0
University College Cork,OP,Operations,OP-1,Building Design and Construction,Complete,2.95,3.0
University College Cork,OP,Operations,OP-2,Building Operations and Maintenance,Complete,2.08,5.0
University College Cork,OP,Operations,OP-3,Water Use,Complete,4.67,6.0
University College Cork,OP,Operations,OP-4,Ecologically Managed Grounds,Complete,4.06,5.0
University College Cork,OP,Operations,OP-5,Energy Use,Complete,5.62,10.0
University College Cork,OP,Operations,OP-6,Greenhouse Gas Emissions,Complete,10.63,16.0
University College Cork,OP,Operations,OP-7,Dining Service Procurement,Complete,5.8,8.0
University College Cork,OP,Operations,OP-8,Food Recovery,Complete,2.0,2.0
University College Cork,OP,Operations,OP-9,Sustainable Procurement System,Complete,2.15,7.0
University College Cork,OP,Operations,OP-10,Purchased Goods,Complete,1.13,4.0
University College Cork,OP,Operations,OP-11,Materials Management,Complete,3.0,4.0
University College Cork,OP,Operations,OP-12,Waste Generation and Recovery,Complete,3.99,5.0
University College Cork,OP,Operations,OP-13,Vehicle Fleet,Complete,0.67,2.0
University College Cork,OP,Operations,OP-14,Commute Modal Split,Complete,4.83,6.0
University College Cork,OP,Operations,OP-15,Air Travel,Complete,0.0,2.0
University College Cork,PA,Planning & Administration,PA-1,Sustainability Coordination,Complete,1.0,1.0
University College Cork,PA,Planning & Administration,PA-2,Commitments and Planning,Complete,5.67,6.0
University College Cork,PA,Planning & Administration,PA-3,Institutional Governance,Complete,4.0,4.0
University College Cork,PA,Planning & Administration,PA-4,Sustainable Investment Program,Complete,3.33,4.0
University College Cork,PA,Planning & Administration,PA-5,Investment Holdings,Complete,1.93,3.0
University College Cork,PA,Planning & Administration,PA-6,Institutional Climate,Complete,3.0,3.0
University College Cork,PA,Planning & Administration,PA-7,Racial and Ethnic Representation,Complete,1.2,3.0
University College Cork,PA,Planning & Administration,PA-8,Gender Parity,Complete,2.0,2.0
University College Cork,PA,Planning & Administration,PA-9,Affordability and Access,Complete,2.0,3.0
University College Cork,PA,Planning & Administration,PA-10,Student Success,Complete,2.5,3.0
University College Cork,PA,Planning & Administration,PA-11,"Health, Safety and Wellbeing",Complete,3.0,3.0
University College Cork,PA,Planning & Administration,PA-12,Employee Rights,Complete,3.0,3.0
University College Cork,PA,Planning & Administration,PA-13,Pay Equity and Living Wage,Complete,3.8,5.0
University College Cork,IL,Innovation & Leadership,IL-5,Open Online Sustainability Course,Complete,1.0,1.0
University College Cork,IL,Innovation & Leadership,IL-24,Biodiversity Assessment,Complete,1.0,1.0
University College Cork,IL,Innovation & Leadership,IL-29,Zero Emission Grounds Equipment,Complete,1.0,1.0
University College Cork,IL,Innovation & Leadership,IL-30,Energy System Certification,Complete,1.0,1.0
University College Cork,IL,Innovation & Leadership,IL-58,Universal Design,Complete,1.0,1.0
University College Cork,IL,Innovation & Leadership,IL-65,Innovation A,Complete,1.0,1.0
University College Cork,IL,Innovation & Leadership,IL-66,Innovation B,Complete,1.0,1.0
University College Cork,IL,Innovation & Leadership,IL-67,Innovation C,Complete,1.0,1.0
University College Cork,IL,Innovation & Leadership,IL-68,Innovation D,Complete,1.0,1.0
University College Cork,IL,Innovation & Leadership,IL-69,Innovation E,Complete,1.0,1.0
