institution,credit_code,category,pillar,credit_name,indicator,section,field,value,units,value_numeric,value_type,links
University College Cork,PRE-1,PRE,Preface,Executive Letter,,,Executive cover letter,03.03.26-STARSProgrammeSubmission.pdf,,,text,https://reports.aashe.org/media/secure/989/9/842/8914/03.03.26-STARSProgrammeSubmission.pdf
University College Cork,PRE-1,PRE,Preface,Executive Letter,,,Notes about the information provided for this credit,,,,not_reported,
University College Cork,PRE-2,PRE,Preface,Points of Distinction,,,"Name of the institution’s featured sustainability program, initiative, or accomplishment",UCC Green Campus Programme,,,text,
University College Cork,PRE-2,PRE,Preface,Points of Distinction,,,"Narrative and/or website URL providing an overview of the institution’s featured program initiative, or accomplishment","In 2010, UCC was the first university in the world to be awarded a Green Flag from the Foundation for Environmental Education. In 2023, we were the first University globally to renew our Green Flag for the 5th time. The combination of bottom-up activism from our student community and top down commitment from University leadership has been key to our success. The programme was started by students that wanted to have a say in environmental management on campus. They made contact with the national operator of the Green Flag programme in Ireland and university management and agreed a pilot Green Campus initiative. The UCC Green Campus committee is co-chaired by a member of the UCC Environmental Society and the Students Union Environmental and Sustainability Rep; it has membership from staff and students and meets regularly throughout the year to design new projects and campaigns. Sustainability is now at the core of UCC’s strategies and values, and the Green Campus programme is seen as an exemplar in driving cultural change.",,,text_long,
University College Cork,PRE-2,PRE,Preface,Points of Distinction,,,"A photograph or document associated with the featured program, initiative, or accomplishment",Protest.jfif,,,text,https://reports.aashe.org/media/secure/989/9/843/8918/Protest.jfif
University College Cork,PRE-2,PRE,Preface,Points of Distinction,,,"Name of a second featured sustainability program, initiative, or accomplishment",UCC ESD Integration,,,text,
University College Cork,PRE-2,PRE,Preface,Points of Distinction,,,"Narrative and/or website URL providing an overview of the second featured program initiative, or accomplishment","At UCC, Education for Sustainable Development presents multiple entry points for staff: some connect naturally with the SDGs, while others work through the lens of competencies such as systems thinking, critical reflection, or normative values. In 2024 the University appointed its first ESD Officer, based within the Office for the Integration of Research, Teaching and Learning. The Officer supports teaching staff to identify opportunities for ESD integration. Their work is complemented by dedicated resources developed at UCC including the SDG teaching toolkit: https://www.ucc.ie/en/sdg-toolkit/ Pedagogically, UCC emphasises transformative learning through the “head, heart, and hands” model—building knowledge, engaging emotions and values, and enabling practical action. This is realised through methods such as case-based learning, project-based learning, cooperative inquiry, and community-based research. Examples including postgraduate modules in community-based participatory research, where students co-design projects with local organisations, and creative approaches in the humanities, such as applying sustainability frameworks to the study of German literature. Mapping exercises reveal that 75% of UCC’s undergraduate programmes now explicitly reference the SDGs, particularly Goals 3, 4, and 5. This stepwise integration—ranging from introductory engagement to full programme design—shows how ESD can be embedded progressively across disciplines. In 2024, UCC also required all Programme Directors to include the SDGs that their courses cover when completing their course details on Courseleaf. A presentation on thesea aspects can be found here: https://pressbooks.oer.ie/hea-esd-spotlight-series-case-studies-compendium/chapter/esd-in-action-practices-and-approaches-at-ucc/",,,text_long,https://www.ucc.ie/en/sdg-toolkit/ https://pressbooks.oer.ie/hea-esd-spotlight-series-case-studies-compendium/chapter/esd-in-action-practices-and-approaches-at-ucc/
University College Cork,PRE-2,PRE,Preface,Points of Distinction,,,"A photograph or document associated with the second featured program, initiative, or accomplishment",,,,not_reported,
University College Cork,PRE-2,PRE,Preface,Points of Distinction,,,"Name of a third featured sustainability program, initiative, or accomplishment",SDSN Ireland,,,text,
University College Cork,PRE-2,PRE,Preface,Points of Distinction,,,"Narrative and/or website URL providing an overview of the third featured program initiative, or accomplishment","In Febraury 2022, UCC together with Queen's University Belfast launched SDSN Ireland, an all island network aimed at leveraging HEIs and NGOs across the island of Ireland to accelerate implementation of the 2030 Agenda and its SDGs. SDSN Ireland members collaborate to co-create and implement integrated solutions that drive SDG progress, with a strong focus on accelerating policy development and tangible impact. This includes fostering cooperation between the North and South of Ireland to maximize outcomes. Three thematic groups have been formed, on the subjects of ""Research and Policy"", ""Arts and Sustainability"" and ""Zero Carbon Campus"". On Tuesday 2 December, SDSN Ireland and University College Cork supported the 2nd National SDG Stakeholder Forum of 2025 under the banner “SDG Localisation – SDGs Working Locally”. This hybrid event, hosted the Government of Ireland’s Department of Climate, Energy and Environment, brought together policymakers, academics, community stakeholders and civil society from across Ireland with a shared focus: how to turn global ambitions into real local impact. The day of presentations, panel discussions and interactive workshops underscored the urgent need to root the 2030 Agenda for Sustainable Development in local communities — putting the “global” into locally meaningful action.",,,text_long,
