institution,credit_code,category,pillar,credit_name,section,field,value,units,value_numeric,value_type
Technological University Dublin,PRE-1,PRE,Preface,Executive Letter,,Executive cover letter,TU_Dublin_Executive_letter_STARS_Application_2024.pdf,,,text
Technological University Dublin,PRE-1,PRE,Preface,Executive Letter,,Notes about the information provided for this credit,,,,not_reported
Technological University Dublin,PRE-2,PRE,Preface,Points of Distinction,,"Name of the institution’s featured sustainability program, initiative, or accomplishment",TU Dublin Sustainability Education Transformation programme,,,text
Technological University Dublin,PRE-2,PRE,Preface,Points of Distinction,,"Narrative and/or website URL providing an overview of the institution’s featured program initiative, or accomplishment","TU Dublin Sustainability Education team (Ref1) is driving the sustainability transformation of the curriculum, professional development and upskilling of staff and students. AASHE recognises TU Dublin as the first Centre for Sustainability Across the Curriculum in Europe (Ref2 ) . URL References: Ref1: https://www.tudublin.ie/explore/about-the-university/sustainability/sustainability-education/ Ref2: https://www.tudublin.ie/explore/news/tu-dublin-is-recognised-as-the-first-centre-for-sustainability-across-the-curriculum-in-europe.html",,,text_long
Technological University Dublin,PRE-2,PRE,Preface,Points of Distinction,,"A photograph or document associated with the featured program, initiative, or accomplishment",PRE_2_centre-for-sustainability-main.png,,,text
Technological University Dublin,PRE-2,PRE,Preface,Points of Distinction,,"Name of a second featured sustainability program, initiative, or accomplishment",TU Dublin Sustainable Campus programme,,,text
Technological University Dublin,PRE-2,PRE,Preface,Points of Distinction,,"Narrative and/or website URL providing an overview of the second featured program initiative, or accomplishment","TU Dublin Sustainable Campus programme (Ref1) bi-annually report the Climate Action Roadmap (CAR) (Ref2). This is a significant effort that looks at contiuously measuring and reporting Scope 1, 2, and 3 carbon emissions and planning the decarbonisation of the university. A major recognition of the wholistic sustainability measures across campuses is seen with TU Dublin raising the Green Flag at all campuses (Ref3 ) URL References: Ref1: https://www.tudublin.ie/explore/about-the-university/sustainability/sustainable-campus/ Ref2: https://www.tudublin.ie/explore/about-the-university/sustainability/vision--progress/sustainability-strategy/climate-action-roadmap/ Ref3: https://www.tudublin.ie/explore/news/tu-dublin-raise-the-green-flag-at-all-campuses-.html#:~:text=TU%20Dublin%20is%20the%20first,strategic%20milestone%20for%20the%20University.",,,text_long
Technological University Dublin,PRE-2,PRE,Preface,Points of Distinction,,"A photograph or document associated with the second featured program, initiative, or accomplishment",PRE_2_Green-Flag.jpg,,,text
Technological University Dublin,PRE-2,PRE,Preface,Points of Distinction,,"Name of a third featured sustainability program, initiative, or accomplishment",TU Dublin Sustainability Digitalisation programme,,,text
Technological University Dublin,PRE-2,PRE,Preface,Points of Distinction,,"Narrative and/or website URL providing an overview of the third featured program initiative, or accomplishment","TU Dublin Sustainability Intelligence team (Ref1) leads the Digital Transformation programme of the university on sustainability themes. The team looks at gathering all data from all the university to assess and report on the sustainability level of the university, and develop new digital methodology to enhance and consolidate the assessment and report on all sustainability aspects. The sustainability digitalisation programme already produced three web applications that enable to assess the sustainability in the curriculum (analysing the curriculum databases), sustainability in research (analysing all research outputs in the TU Dublin research repository and Scopus), and sustainability in communication (analysing website content). These web apps assess the sustainablity level (Focused, Incluside, or Nothing) of text among the 17 UN SDG. These applications are currently in the process of being made available to all TU Dublin staff and students. Another project within the sustainability digitalisation programme is ""Towards a Sustainability University Campus"" (Ref2) which looks at digitalising, modelling, monitoring and reporting the operation of TU Dublin buildings and campuses with outputs feeding into scope 1, 2 and 3 outputs reported in the Climate Action Roadmap and other reporting framework such as STARS. Further background on TU Dublin ""Digitalisation Transformation"" programme of the universiy: TU Dublin Strategic Plan (Ref3 and Ref4) is built on 3 sustainability pillars, namely People, Planet, and Partnership. A fouth pillar is ""Enablers"" and includes the ""Digital Transformation"" programme of the university that is made evident across a non-exhaustive list of university activities such as (i) the N-TUTORR project on the Digital Transformation in Teaching and Learning (Ref5) leading to TU Dublin policy and guidance on Digital Education (Ref6), (ii) the Technology Services Digital Transformation Programme 24/25 (Ref7), and (iii) digital transformation courses delivered by various schools in the Faculty of Computing, Digital and Data (Ref8). URL References: Ref1: https://www.tudublin.ie/explore/about-the-university/sustainability/about/sustainability-team/sustainability-intelligence/ Ref2: https://www.tudublin.ie/explore/about-the-university/sustainability/strategic-projects/action-research/towards-a-sustainable-university-campus/ Ref3: https://www.tudublin.ie/media/website/explore/about-the-university/strategic-plan/documents/Strategic-Plan-2024-2028-FINAL.pdf Ref4: https://www.tudublin.ie/explore/about-the-university/strategicintent/2030/ Ref5: https://www.tudublin.ie/explore/about-the-university/academic-affairs/ntutorr/themes/digital-transformation-in-teaching-and-learning/ Ref6: https://www.tudublin.ie/explore/about-the-university/academic-affairs/digital-education/ Ref7: https://www.tudublin.ie/connect/technology-services/about-us/enterprise-systems-and-planning/ict-project-office/technology-services-digital-transformation-programme-24-25/ Ref8: https://www.tudublin.ie/explore/faculties-and-schools/computing-digital-data/",,,text_long
Technological University Dublin,PRE-2,PRE,Preface,Points of Distinction,,"A photograph or document associated with the third featured program, initiative, or accomplishment",PRE_2_towards_a_sustainable_university_campus.jpg,,,text
Technological University Dublin,PRE-2,PRE,Preface,Points of Distinction,,Notes about the information provided for this credit,,,,not_reported
Technological University Dublin,PRE-3,PRE,Preface,Institutional Characteristics,,Institution type,Doctoral/Research,,,text
Technological University Dublin,PRE-3,PRE,Preface,Institutional Characteristics,,Institutional control,Public,,,text
Technological University Dublin,PRE-3,PRE,Preface,Institutional Characteristics,,Narrative outlining the institutional boundary used to complete this report,"TU Dublin consists of three campuses, namely City, Tallaght, and Blanchardstown. The City campus is itself a regroupement of areas such as Grangegorman, Bolton Street, Aungier Street and other smaller building located in Dublin city centre. Our STARS report includes data for all campuses, all estates and buildings, all university functions, all academic and non-academic staff, all students, all research hubs and research outputs collected from Scopus and Arrow (TU Dublin repository). About 60 people have contributed to the data collection and validation. The limitation of the report, addressed in the Operation section, relates to the access of data from food service providers . All data regarding food and beverages mostle come from 1 of 4 food service providers. However service provider serves our City campus which represents, as a headcount, 18,487 students out of 26,677 students (excluding distance learning and e-learning students) and 2,530 out of 3,283 staff. This means that the reported values address 21,017 people out of a headcount of 29,960 people, i.e. 70% of TU Dublin population. Based on FTE values, City campus represents 15,429 out of 22,841 students and 1,970 out of 2,626, i.e 17,399 FTE out of 25,467 FTE representing 68% of the population.",,,text_long
Technological University Dublin,PRE-3,PRE,Preface,Institutional Characteristics,,Which of the following features are included within the institutional boundary?,Agricultural school,,,text
Technological University Dublin,PRE-3,PRE,Preface,Institutional Characteristics,,Locale,Large city,,,text
Technological University Dublin,PRE-3,PRE,Preface,Institutional Characteristics,,Climate zone,4 - Mixed,,,text
Technological University Dublin,PRE-3,PRE,Preface,Institutional Characteristics,,Gross floor area of building space,"210,887",Square meters,210887.0,number
Technological University Dublin,PRE-3,PRE,Preface,Institutional Characteristics,,Full-time equivalent student enrollment,"22,841",,22841.0,number
Technological University Dublin,PRE-3,PRE,Preface,Institutional Characteristics,,Full-time equivalent of employees,"2,404",,2404.0,number
