credit_code,category,question,answer
PRE-1,PRE,Overall Rating,Gold
PRE-1,PRE,Overall Score,83.35
PRE-1,PRE,Submission Date,"Dec. 2, 2024"
PRE-2,PRE,Overall Rating,Gold
PRE-2,PRE,Overall Score,83.35
PRE-2,PRE,Submission Date,"Dec. 2, 2024"
PRE-3,PRE,Overall Rating,Gold
PRE-3,PRE,Overall Score,83.35
PRE-3,PRE,Submission Date,"Dec. 2, 2024"
PRE-4,PRE,Overall Rating,Gold
PRE-4,PRE,Overall Score,83.35
PRE-4,PRE,Submission Date,"Dec. 2, 2024"
AC-1,AC,Overall Rating,Gold
AC-1,AC,Overall Score,83.35
AC-1,AC,Submission Date,"Dec. 2, 2024"
AC-2,AC,Overall Rating,Gold
AC-2,AC,Overall Score,83.35
AC-2,AC,Submission Date,"Dec. 2, 2024"
AC-3,AC,Overall Rating,Gold
AC-3,AC,Overall Score,83.35
AC-3,AC,Submission Date,"Dec. 2, 2024"
AC-4,AC,Overall Rating,Gold
AC-4,AC,Overall Score,83.35
AC-4,AC,Submission Date,"Dec. 2, 2024"
AC-5,AC,Overall Rating,Gold
AC-5,AC,Overall Score,83.35
AC-5,AC,Submission Date,"Dec. 2, 2024"
AC-6,AC,Overall Rating,Gold
AC-6,AC,Overall Score,83.35
AC-6,AC,Submission Date,"Dec. 2, 2024"
AC-7,AC,Overall Rating,Gold
AC-7,AC,Overall Score,83.35
AC-7,AC,Submission Date,"Dec. 2, 2024"
AC-8,AC,Overall Rating,Gold
AC-8,AC,Overall Score,83.35
AC-8,AC,Submission Date,"Dec. 2, 2024"
EN-1,EN,Overall Rating,Gold
EN-1,EN,Overall Score,83.35
EN-1,EN,Submission Date,"Dec. 2, 2024"
EN-2,EN,Overall Rating,Gold
EN-2,EN,Overall Score,83.35
EN-2,EN,Submission Date,"Dec. 2, 2024"
EN-3,EN,Overall Rating,Gold
EN-3,EN,Overall Score,83.35
EN-3,EN,Submission Date,"Dec. 2, 2024"
EN-4,EN,Overall Rating,Gold
EN-4,EN,Overall Score,83.35
EN-4,EN,Submission Date,"Dec. 2, 2024"
