institution,category_code,category,credit_code,credit_name,status,score,max
Technological University Dublin,PRE,Report Preface,PRE-1,Executive Letter,Complete,,
Technological University Dublin,PRE,Report Preface,PRE-2,Points of Distinction,Complete,,
Technological University Dublin,PRE,Report Preface,PRE-3,Institutional Characteristics,Complete,,
Technological University Dublin,PRE,Report Preface,PRE-4,Reporting Methodologies,Complete,,
Technological University Dublin,AC,Academics,AC-1,Sustainability Course Offerings,Complete,14.0,14.0
Technological University Dublin,AC,Academics,AC-2,Undergraduate Programs,Complete,13.28,15.0
Technological University Dublin,AC,Academics,AC-3,Graduate Programs,Complete,8.0,8.0
Technological University Dublin,AC,Academics,AC-4,Applied Learning,Complete,4.0,4.0
Technological University Dublin,AC,Academics,AC-5,Sustainability Literacy Assessment,Complete,1.58,4.0
Technological University Dublin,AC,Academics,AC-6,Sustainability Research,Complete,10.0,10.0
Technological University Dublin,AC,Academics,AC-7,Center for Sustainability Research,Complete,6.0,6.0
Technological University Dublin,AC,Academics,AC-8,Responsible Research and Innovation,Complete,7.0,7.0
Technological University Dublin,EN,Engagement,EN-1,Outreach and Communications,Complete,5.0,5.0
Technological University Dublin,EN,Engagement,EN-2,Co-Curricular Activities,Complete,9.0,9.0
Technological University Dublin,EN,Engagement,EN-3,Staff Engagement and Training,Complete,8.0,8.0
Technological University Dublin,EN,Engagement,EN-4,Sustainability Culture Assessment,Complete,2.0,3.0
Technological University Dublin,EN,Engagement,EN-5,Civic Engagement,Complete,4.5,8.0
Technological University Dublin,EN,Engagement,EN-6,Community Partnerships,Complete,7.0,9.0
Technological University Dublin,EN,Engagement,EN-7,Continuing Education,Complete,3.0,3.0
Technological University Dublin,EN,Engagement,EN-8,Shared Facilities,Complete,2.0,2.0
Technological University Dublin,EN,Engagement,EN-9,Inter-Campus Collaboration,Complete,3.0,3.0
Technological University Dublin,OP,Operations,OP-1,Building Design and Construction,Complete,1.38,3.0
Technological University Dublin,OP,Operations,OP-2,Building Operations and Maintenance,Complete,1.97,5.0
Technological University Dublin,OP,Operations,OP-3,Water Use,Complete,4.33,6.0
Technological University Dublin,OP,Operations,OP-4,Ecologically Managed Grounds,Complete,0.69,5.0
Technological University Dublin,OP,Operations,OP-5,Energy Use,Complete,6.34,10.0
Technological University Dublin,OP,Operations,OP-6,Greenhouse Gas Emissions,Complete,10.79,16.0
Technological University Dublin,OP,Operations,OP-7,Dining Service Procurement,Complete,4.54,8.0
Technological University Dublin,OP,Operations,OP-8,Food Recovery,Complete,2.0,2.0
Technological University Dublin,OP,Operations,OP-9,Sustainable Procurement System,Complete,2.4,7.0
Technological University Dublin,OP,Operations,OP-10,Purchased Goods,Complete,2.75,4.0
Technological University Dublin,OP,Operations,OP-11,Materials Management,Complete,2.25,4.0
Technological University Dublin,OP,Operations,OP-12,Waste Generation and Recovery,Complete,3.94,5.0
Technological University Dublin,OP,Operations,OP-13,Vehicle Fleet,Complete,2.0,2.0
Technological University Dublin,OP,Operations,OP-14,Commute Modal Split,Complete,5.39,6.0
Technological University Dublin,OP,Operations,OP-15,Air Travel,Complete,0.0,2.0
Technological University Dublin,PA,Planning & Administration,PA-1,Sustainability Coordination,Complete,1.0,1.0
Technological University Dublin,PA,Planning & Administration,PA-2,Commitments and Planning,Complete,5.67,6.0
Technological University Dublin,PA,Planning & Administration,PA-3,Institutional Governance,Complete,4.0,4.0
Technological University Dublin,PA,Planning & Administration,PA-4,Sustainable Investment Program,Not Applicable,,
Technological University Dublin,PA,Planning & Administration,PA-5,Investment Holdings,Not Applicable,,
Technological University Dublin,PA,Planning & Administration,PA-6,Institutional Climate,Complete,3.0,3.0
Technological University Dublin,PA,Planning & Administration,PA-7,Racial and Ethnic Representation,Complete,0.86,3.0
Technological University Dublin,PA,Planning & Administration,PA-8,Gender Parity,Complete,0.33,2.0
Technological University Dublin,PA,Planning & Administration,PA-9,Affordability and Access,Complete,2.5,3.0
Technological University Dublin,PA,Planning & Administration,PA-10,Student Success,Complete,2.91,3.0
Technological University Dublin,PA,Planning & Administration,PA-11,"Health, Safety and Wellbeing",Complete,3.0,3.0
Technological University Dublin,PA,Planning & Administration,PA-12,Employee Rights,Complete,3.0,3.0
Technological University Dublin,PA,Planning & Administration,PA-13,Pay Equity and Living Wage,Complete,4.8,5.0
Technological University Dublin,IL,Innovation & Leadership,IL-3,Sustainability Course Inventory,Complete,1.0,1.0
Technological University Dublin,IL,Innovation & Leadership,IL-6,Sustainability Research Inventory,Complete,1.0,1.0
Technological University Dublin,IL,Innovation & Leadership,IL-8,Open Access Journal Hosting,Complete,1.0,1.0
Technological University Dublin,IL,Innovation & Leadership,IL-11,Green Events Program,Complete,0.0,1.0
Technological University Dublin,IL,Innovation & Leadership,IL-12,Green Laboratory Program,Complete,0.5,1.0
Technological University Dublin,IL,Innovation & Leadership,IL-18,Continuing Education Inventory,Complete,1.0,1.0
Technological University Dublin,IL,Innovation & Leadership,IL-30,Energy System Certification,Complete,1.0,1.0
Technological University Dublin,IL,Innovation & Leadership,IL-31,GHG Verification,Complete,1.0,1.0
Technological University Dublin,IL,Innovation & Leadership,IL-48,Shared Mobility Program,Complete,0.5,1.0
Technological University Dublin,IL,Innovation & Leadership,IL-52,Sustainability-Equity Coordination,Complete,1.0,1.0
Technological University Dublin,IL,Innovation & Leadership,IL-56,Open and Shared Course Materials,Complete,1.0,1.0
Technological University Dublin,IL,Innovation & Leadership,IL-58,Universal Design,Complete,1.0,1.0
Technological University Dublin,IL,Innovation & Leadership,IL-62,Pay Scale Equity,Complete,1.0,1.0
