url,institution,credit_code,field,original_name,local_file,bytes,status,note,extract_status,text_chars
https://www.ucop.edu/safety-and-loss-prevention/_files/groups/herbicide-task-force-report.pdf,"University of California, Berkeley",PRE-2,"Narrative and/or website URL providing an overview of the third featured program initiative, or accomplishment",herbicide-task-force-report.pdf,b61ddfd77483bf62.pdf,8255009,downloaded,application/pdf,ok,128426
https://facilities.berkeley.edu/sites/default/files/fs_ucberkeley_green_cleaning_program_2010.pdf,"University of California, Berkeley",OP-2,Online location of the institution’s green cleaning policy,fs_ucberkeley_green_cleaning_program_2010.pdf,3972de6ec2aba871.pdf,43667,downloaded,application/pdf,ok,12768
https://facilities.berkeley.edu/sites/default/files/ucb_campus_design_standards_2020.pdf,"University of California, Berkeley",OP-2,"Online location of the institution’s minimum standards for water efficient fixtures, fittings, and equipment",ucb_campus_design_standards_2020.pdf,09a2d17fc84bf8b4.pdf,7783795,downloaded,application/pdf,ok,1432647
https://sustainability.berkeley.edu/sites/default/files/university_of_california_berkeley_ipm_1.pdf,"University of California, Berkeley",OP-4,Online location of the institution’s IPM protocol,university_of_california_berkeley_ipm_1.pdf,d586048bb8329bb2.pdf,329413,downloaded,application/pdf,ok,43298
https://www.ucop.edu/procurement-services/for-ucstaff/sustainable-procurement/sustainableprocurementguidelines.pdf,"University of California, Berkeley",OP-9,Online location of the institution’s supplier code of conduct,sustainableprocurementguidelines.pdf,,0,error,HTTP 404,not_downloaded,0
https://cleanenergycampus.berkeley.edu/sites/default/files/irap_final_05-2024_-_aei_report_version_2.pdf,"University of California, Berkeley",PA-1,Narrative outlining the activities and substantive accomplishments of the institution-wide coordinating body or officer during the previous three years,irap_final_05-2024_-_aei_report_version_2.pdf,,0,error,HTTP 404,not_downloaded,0
https://sustainability.berkeley.edu/sites/default/files/uc_berkeley_sustainability_plan_2020_1.pdf,"University of California, Berkeley",PA-2,Narrative listing the institution’s measurable sustainability objectives that address campus operations,uc_berkeley_sustainability_plan_2020_1.pdf,,0,error,HTTP 404,not_downloaded,0
https://sustainability.berkeley.edu/sites/default/files/uc_berkeley_green_labs_action_plan_may_2020.pdf,"University of California, Berkeley",PA-2,Narrative listing the institution’s measurable sustainability objectives that address campus operations,uc_berkeley_green_labs_action_plan_may_2020.pdf,,0,error,HTTP 404,not_downloaded,0
https://facilities.berkeley.edu/sites/default/files/2019_uc_berkeley_zero_waste_plan_final.pdf,"University of California, Berkeley",PA-2,Narrative listing the institution’s measurable sustainability objectives that address campus operations,2019_uc_berkeley_zero_waste_plan_final.pdf,ab79b37bc931f325.pdf,2664040,downloaded,application/pdf,ok,89039
https://sustainability.berkeley.edu/sites/default/files/climate_vulnerability_initial_assessment_for_uc_berkeley_deboer.pdf,"University of California, Berkeley",PA-2,Narrative and/or website URL providing an overview of the institution’s climate resilience assessment,climate_vulnerability_initial_assessment_for_uc_berkeley_deboer.pdf,,0,error,HTTP 404,not_downloaded,0
