source,url,method,words,status,flags
cambridge-esg,https://dictionary.cambridge.org/dictionary/english/esg,simple,111,ok,THIN
ibm-esg,https://www.ibm.com/think/topics/environmental-social-and-governance,simple,1057,ok,
cfi-esg,https://corporatefinanceinstitute.com/resources/esg/esg-environmental-social-governance/,simple,1091,ok,
robeco-esg-definition,https://www.robeco.com/en-us/glossary/sustainable-investing/esg-definition,simple,750,ok,
robeco-sustainability,https://www.robeco.com/en-us/glossary/sustainable-investing/definitions-of-sustainability,simple,520,ok,
ibm-esg-history,https://www.ibm.com/think/topics/environmental-social-and-governance-history,simple,1159,ok,
ibm-esg-reporting,https://www.ibm.com/think/topics/esg-reporting,simple,1293,ok,
ibm-esg-frameworks,https://www.ibm.com/think/topics/esg-frameworks,simple,4075,ok,
gri-standards,https://www.globalreporting.org/standards/,simple,48,CHECK,THIN
ibm-gri,https://www.ibm.com/think/topics/global-reporting-initiative,simple,1037,ok,
ibm-csrd,https://www.ibm.com/think/topics/csrd,simple,1834,ok,
ibm-sasb,https://www.ibm.com/think/topics/sasb,simple,1197,ok,
stars-about,https://stars.aashe.org/about-stars/,simple,167,ok,THIN
stars-terminology,https://stars.aashe.org/participate/basic-terminology/,simple,0,CHECK,EMPTY
stars-technical-manual,https://stars.aashe.org/resources-support/technical-manual/,simple,600,ok,
msci-esg-ratings,https://www.msci.com/data-and-analytics/sustainability-solutions/esg-ratings,simple,470,ok,
greenscope-agencies,https://www.greenscope.io/esg/agence-notation-esg,simple,1423,ok,FRENCH
worldbank-framework,https://www.worldbank.org/en/news/feature/2022/12/12/world-bank-relaunches-sovereign-esg-data-portal,simple,502,ok,
toronto-annual-report,https://sustainability.utoronto.ca/resources/annual-reports/2024-2025-annual-report/,simple,2768,ok,SALES-PAGE
manchester-sustain,https://www.manchester.ac.uk/about/social-responsibility/environmental-sustainability/our-sustainability-commitments/sustainability-strategy/,simple,1600,ok,
