institution,institution_key,gri_standard,gri_disclosure,gri_title,status,values_available,citable
"University of California, Berkeley",berkeley,GRI 2,2-1,Organizational details,Reported,1,True
University College Cork,cork,GRI 2,2-1,Organizational details,Reported,1,True
Technological University Dublin,tudublin,GRI 2,2-1,Organizational details,Reported,1,True
"University of California, Berkeley",berkeley,GRI 2,2-2,Entities included in the organization’s sustainability reporting,Reported,1,True
University College Cork,cork,GRI 2,2-2,Entities included in the organization’s sustainability reporting,Reported,1,True
Technological University Dublin,tudublin,GRI 2,2-2,Entities included in the organization’s sustainability reporting,Reported,1,True
"University of California, Berkeley",berkeley,GRI 2,2-3,"Reporting period, frequency and contact point",Partially reported,2,False
University College Cork,cork,GRI 2,2-3,"Reporting period, frequency and contact point",Partially reported,2,False
Technological University Dublin,tudublin,GRI 2,2-3,"Reporting period, frequency and contact point",Partially reported,2,False
"University of California, Berkeley",berkeley,GRI 2,2-4,Restatements of information,Not reported,0,False
University College Cork,cork,GRI 2,2-4,Restatements of information,Not reported,0,False
Technological University Dublin,tudublin,GRI 2,2-4,Restatements of information,Not reported,0,False
"University of California, Berkeley",berkeley,GRI 2,2-5,External assurance,Reported,1,True
University College Cork,cork,GRI 2,2-5,External assurance,Reported,2,True
Technological University Dublin,tudublin,GRI 2,2-5,External assurance,Reported,1,True
"University of California, Berkeley",berkeley,GRI 2,2-6,"Activities, value chain and other business relationships",Partially reported,1,False
University College Cork,cork,GRI 2,2-6,"Activities, value chain and other business relationships",Partially reported,1,False
Technological University Dublin,tudublin,GRI 2,2-6,"Activities, value chain and other business relationships",Partially reported,1,False
"University of California, Berkeley",berkeley,GRI 2,2-7,Employees,Partially reported,1,False
University College Cork,cork,GRI 2,2-7,Employees,Partially reported,1,False
Technological University Dublin,tudublin,GRI 2,2-7,Employees,Partially reported,1,False
"University of California, Berkeley",berkeley,GRI 2,2-8,Workers who are not employees,Not reported,0,False
University College Cork,cork,GRI 2,2-8,Workers who are not employees,Not reported,0,False
Technological University Dublin,tudublin,GRI 2,2-8,Workers who are not employees,Not reported,0,False
"University of California, Berkeley",berkeley,GRI 2,2-9,Governance structure and composition,Reported,4,True
University College Cork,cork,GRI 2,2-9,Governance structure and composition,Reported,4,True
Technological University Dublin,tudublin,GRI 2,2-9,Governance structure and composition,Reported,4,True
"University of California, Berkeley",berkeley,GRI 2,2-10,Nomination and selection of the highest governance body,Not reported,0,False
University College Cork,cork,GRI 2,2-10,Nomination and selection of the highest governance body,Not reported,0,False
Technological University Dublin,tudublin,GRI 2,2-10,Nomination and selection of the highest governance body,Not reported,0,False
"University of California, Berkeley",berkeley,GRI 2,2-11,Chair of the highest governance body,Not reported,0,False
University College Cork,cork,GRI 2,2-11,Chair of the highest governance body,Not reported,0,False
Technological University Dublin,tudublin,GRI 2,2-11,Chair of the highest governance body,Not reported,0,False
"University of California, Berkeley",berkeley,GRI 2,2-12,Role of the highest governance body in overseeing the management of impacts,Not reported,0,False
University College Cork,cork,GRI 2,2-12,Role of the highest governance body in overseeing the management of impacts,Not reported,0,False
Technological University Dublin,tudublin,GRI 2,2-12,Role of the highest governance body in overseeing the management of impacts,Not reported,0,False
"University of California, Berkeley",berkeley,GRI 2,2-13,Delegation of responsibility for managing impacts,Reported,3,True
University College Cork,cork,GRI 2,2-13,Delegation of responsibility for managing impacts,Reported,3,True
Technological University Dublin,tudublin,GRI 2,2-13,Delegation of responsibility for managing impacts,Reported,3,True
"University of California, Berkeley",berkeley,GRI 2,2-14,Role of the highest governance body in sustainability reporting,Partially reported,1,False
