institution,credit_code,credit_name,category,pillar,indicator,section,field,units,value_numeric,institution_key,gri_standard,gri_disclosure,relationship,mapped_to_gri,is_intensity,comparable
Technological University Dublin,AC-1,Sustainability Course Offerings,Academics,Context,1.1 Percentage of academic departments with sustainability course offerings,,Number of academic departments with at least one sustainability course offering,,26.0,tudublin,,,,False,False,True
Technological University Dublin,AC-1,Sustainability Course Offerings,Academics,Context,1.1 Percentage of academic departments with sustainability course offerings,,Percentage of departments with sustainability course offerings,,100.0,tudublin,,,,False,False,True
Technological University Dublin,AC-1,Sustainability Course Offerings,Academics,Context,1.1 Percentage of academic departments with sustainability course offerings,,Total number of academic departments that offer courses that may be taken for credit,,26.0,tudublin,,,,False,False,True
Technological University Dublin,AC-2,Undergraduate Programs,Academics,Context,2.3 Percentage of undergraduate qualifications awarded that have sustainability-focused learning requirements,,Number of undergraduate qualifications awarded that are focused on subjects other than sustainability but have sustainability-focused learning requirements,,144.0,tudublin,,,,False,False,True
Technological University Dublin,AC-2,Undergraduate Programs,Academics,Context,2.3 Percentage of undergraduate qualifications awarded that have sustainability-focused learning requirements,,Number of undergraduate qualifications awarded that are sustainability-focused,,341.0,tudublin,,,,False,False,True
Technological University Dublin,AC-2,Undergraduate Programs,Academics,Context,2.3 Percentage of undergraduate qualifications awarded that have sustainability-focused learning requirements,,Percentage of undergraduate qualifications awarded that have sustainability-focused learning requirements,,75.43,tudublin,,,,False,False,True
Technological University Dublin,AC-2,Undergraduate Programs,Academics,Context,2.3 Percentage of undergraduate qualifications awarded that have sustainability-focused learning requirements,,Total number of undergraduate qualifications awarded,,643.0,tudublin,,,,False,False,True
Technological University Dublin,AC-2,Undergraduate Programs,Academics,Context,2.3 Percentage of undergraduate qualifications awarded that have sustainability-focused learning requirements,,Total number of undergraduate qualifications awarded that have sustainability-focused learning requirements,,485.0,tudublin,,,,False,False,True
Technological University Dublin,AC-3,Graduate Programs,Academics,Context,3.2 Percentage of graduate qualifications awarded that have sustainability-focused learning requirements,,Number of graduate qualifications awarded that are focused on subjects other than sustainability but have sustainability-focused learning requirements,,35.0,tudublin,,,,False,False,True
Technological University Dublin,AC-3,Graduate Programs,Academics,Context,3.2 Percentage of graduate qualifications awarded that have sustainability-focused learning requirements,,Number of graduate qualifications awarded that are sustainability-focused,,108.0,tudublin,,,,False,False,True
Technological University Dublin,AC-3,Graduate Programs,Academics,Context,3.2 Percentage of graduate qualifications awarded that have sustainability-focused learning requirements,,Percentage of graduate qualifications awarded that have sustainability-focused learning requirements,,71.5,tudublin,,,,False,False,True
Technological University Dublin,AC-3,Graduate Programs,Academics,Context,3.2 Percentage of graduate qualifications awarded that have sustainability-focused learning requirements,,Total number of graduate qualifications awarded,,200.0,tudublin,,,,False,False,True
Technological University Dublin,AC-3,Graduate Programs,Academics,Context,3.2 Percentage of graduate qualifications awarded that have sustainability-focused learning requirements,,Total number of graduate qualifications awarded that have sustainability-focused learning requirements,,143.0,tudublin,,,,False,False,True
Technological University Dublin,AC-6,Sustainability Research,Academics,Context,6.1 Percentage of academic departments engaged in sustainability research,,Number of academic departments engaged in sustainability research,,26.0,tudublin,,,,False,False,True
Technological University Dublin,AC-6,Sustainability Research,Academics,Context,6.1 Percentage of academic departments engaged in sustainability research,,Percentage of academic departments engaged in sustainability research,,100.0,tudublin,,,,False,False,True
Technological University Dublin,AC-6,Sustainability Research,Academics,Context,6.1 Percentage of academic departments engaged in sustainability research,,Total number of academic departments engaged in research,,26.0,tudublin,,,,False,False,True
Technological University Dublin,EN-4,Sustainability Culture Assessment,Engagement,Context,4.3 Percentage of employees assessed for sustainability culture,,"Percentage of employees assessed for sustainability culture, either directly or by representative sample",,0.0,tudublin,,,,False,False,False
Technological University Dublin,IL-62,Pay Scale Equity,Innovation & Leadership,Bonus,,,The factor by which the compensation of the highest compensated senior administrator exceeds that of the lowest compensated full-time employee,,8.08,tudublin,GRI 2,2-21,partial,True,False,False
Technological University Dublin,OP-1,Building Design and Construction,Operations,Environmental,1.1 Percentage of new floor area designed and constructed to green building standards,,"Floor area of new building space built to green building standards, but not third party certified",Square meters,0.0,tudublin,,,,False,False,True
Technological University Dublin,OP-1,Building Design and Construction,Operations,Environmental,1.1 Percentage of new floor area designed and constructed to green building standards,,Floor area of new building space third party certified to a comprehensive green building standard,Square meters,3408.0,tudublin,,,,False,False,True
Technological University Dublin,OP-1,Building Design and Construction,Operations,Environmental,1.1 Percentage of new floor area designed and constructed to green building standards,,Floor area of new building space third party certified to a less comprehensive green building standard,Square meters,53810.0,tudublin,,,,False,False,True
Technological University Dublin,OP-1,Building Design and Construction,Operations,Environmental,1.1 Percentage of new floor area designed and constructed to green building standards,,Total floor area of newly constructed or renovated building space,Square meters,85325.0,tudublin,,,,False,False,True
Technological University Dublin,OP-10,Purchased Goods,Operations,Environmental,10.1 Percentage of cleaning products spend that meets sustainability criteria,,Annual spend on cleaning products that meet other qualifying sustainability criteria,,326.68,tudublin,,,,False,False,True
Technological University Dublin,OP-10,Purchased Goods,Operations,Environmental,10.1 Percentage of cleaning products spend that meets sustainability criteria,,Annual spend on cleaning products that meet preferable sustainability criteria,,2901.86,tudublin,,,,False,False,True
Technological University Dublin,OP-10,Purchased Goods,Operations,Environmental,10.2 Percentage of electronics spend that meets sustainability criteria,,Annual spend on electronics spend that meet other qualifying sustainability criteria,,163303.25,tudublin,,,,False,False,True
Technological University Dublin,OP-10,Purchased Goods,Operations,Environmental,10.2 Percentage of electronics spend that meets sustainability criteria,,Annual spend on electronics that meet preferable sustainability criteria,,829573.95,tudublin,,,,False,False,False
Technological University Dublin,OP-10,Purchased Goods,Operations,Environmental,10.3 Percentage of furniture spend that meets sustainability criteria,,Annual spend on furniture that meets other qualifying sustainability criteria,,1388.0,tudublin,,,,False,False,False
Technological University Dublin,OP-10,Purchased Goods,Operations,Environmental,10.3 Percentage of furniture spend that meets sustainability criteria,,Annual spend on furniture that meets preferable sustainability criteria,,129950.05,tudublin,,,,False,False,False
Technological University Dublin,OP-10,Purchased Goods,Operations,Environmental,10.4 Percentage of office paper spend that meets sustainability criteria,,Annual spend on office paper that meets other qualifying sustainability criteria,,9677.73,tudublin,,,,False,False,False
Technological University Dublin,OP-10,Purchased Goods,Operations,Environmental,10.4 Percentage of office paper spend that meets sustainability criteria,,Annual spend on office paper that meets preferable sustainability criteria,,47557.3,tudublin,,,,False,False,False
Technological University Dublin,OP-10,Purchased Goods,Operations,Environmental,10.1 Percentage of cleaning products spend that meets sustainability criteria,,Percentage of cleaning product spend that meets other qualifying sustainability criteria,,5.36,tudublin,,,,False,False,True
Technological University Dublin,OP-10,Purchased Goods,Operations,Environmental,10.1 Percentage of cleaning products spend that meets sustainability criteria,,Percentage of cleaning product spend that meets preferable sustainability criteria,,47.62,tudublin,,,,False,False,True
Technological University Dublin,OP-10,Purchased Goods,Operations,Environmental,10.2 Percentage of electronics spend that meets sustainability criteria,,Percentage of electronics spend that meets other qualifying sustainability criteria,,12.38,tudublin,,,,False,False,True
Technological University Dublin,OP-10,Purchased Goods,Operations,Environmental,10.2 Percentage of electronics spend that meets sustainability criteria,,Percentage of electronics spend that meets preferable sustainability criteria,,62.88,tudublin,,,,False,False,True
Technological University Dublin,OP-10,Purchased Goods,Operations,Environmental,10.3 Percentage of furniture spend that meets sustainability criteria,,Percentage of furniture spend that meets other qualifying sustainability criteria,,0.73,tudublin,,,,False,False,False
Technological University Dublin,OP-10,Purchased Goods,Operations,Environmental,10.3 Percentage of furniture spend that meets sustainability criteria,,Percentage of furniture spend that meets preferable sustainability criteria,,68.29,tudublin,,,,False,False,False
Technological University Dublin,OP-10,Purchased Goods,Operations,Environmental,10.4 Percentage of office paper spend that meets sustainability criteria,,Percentage of office paper spend that meets other qualifying sustainability criteria,,16.14,tudublin,,,,False,False,False
Technological University Dublin,OP-10,Purchased Goods,Operations,Environmental,10.4 Percentage of office paper spend that meets sustainability criteria,,Percentage of office paper spend that meets preferable sustainability criteria,,79.31,tudublin,,,,False,False,False
Technological University Dublin,OP-10,Purchased Goods,Operations,Environmental,10.1 Percentage of cleaning products spend that meets sustainability criteria,,Total annual spend on cleaning products,,6094.18,tudublin,,,,False,False,True
Technological University Dublin,OP-10,Purchased Goods,Operations,Environmental,10.2 Percentage of electronics spend that meets sustainability criteria,,Total annual spend on electronics,,1319288.96,tudublin,,,,False,False,True
Technological University Dublin,OP-10,Purchased Goods,Operations,Environmental,10.3 Percentage of furniture spend that meets sustainability criteria,,Total annual spend on furniture,,190295.16,tudublin,,,,False,False,False
Technological University Dublin,OP-10,Purchased Goods,Operations,Environmental,10.4 Percentage of office paper spend that meets sustainability criteria,,Total annual spend on office paper,,59962.83,tudublin,,,,False,False,False
Technological University Dublin,OP-12,Waste Generation and Recovery,Operations,Environmental,12.4 Percentage of construction and demolition waste diverted from disposal,,Annual construction and demolition waste generated,Metric tons,1244.08,tudublin,GRI 306,306-3,component,True,False,True
Technological University Dublin,OP-12,Waste Generation and Recovery,Operations,Environmental,12.1 Non-hazardous waste generated per person,,Annual non-hazardous waste generated,Metric tons,1768.85,tudublin,GRI 306,306-3,partial,True,False,True
Technological University Dublin,OP-12,Waste Generation and Recovery,Operations,Environmental,12.1 Non-hazardous waste generated per person,,Annual non-hazardous waste generated per person,Kilograms,70.07,tudublin,,,,False,True,True
Technological University Dublin,OP-12,Waste Generation and Recovery,Operations,Environmental,12.2 Non-hazardous waste generated per square meter,,Annual non-hazardous waste generated per unit of floor area,Kilograms per square meter,8.39,tudublin,,,,False,True,True
Technological University Dublin,OP-12,Waste Generation and Recovery,Operations,Environmental,12.4 Percentage of construction and demolition waste diverted from disposal,,Construction and demolition waste disposed of to a landfill or incinerator,Metric tons,122.23,tudublin,GRI 306,306-5,component,True,False,True
Technological University Dublin,OP-12,Waste Generation and Recovery,Operations,Environmental,12.4 Percentage of construction and demolition waste diverted from disposal,,Construction and demolition waste prepared for reuse,Metric tons,589.89,tudublin,,,,False,False,True
Technological University Dublin,OP-12,Waste Generation and Recovery,Operations,Environmental,12.4 Percentage of construction and demolition waste diverted from disposal,,Construction and demolition waste recycled,Metric tons,531.95,tudublin,GRI 306,306-4,component,True,False,True
Technological University Dublin,OP-12,Waste Generation and Recovery,Operations,Environmental,12.1 Non-hazardous waste generated per person,,Estimated percentage of non-hazardous waste disposed of to a landfill or incinerator that is disposed of to a waste-to-energy (WTE) facility,,39.9,tudublin,,,,False,False,False
Technological University Dublin,OP-12,Waste Generation and Recovery,Operations,Environmental,12.1 Non-hazardous waste generated per person,,Full-time equivalent of employees,,2404.0,tudublin,,,,False,False,True
Technological University Dublin,OP-12,Waste Generation and Recovery,Operations,Environmental,12.1 Non-hazardous waste generated per person,,Full-time equivalent student enrollment,,22841.0,tudublin,,,,False,False,True
Technological University Dublin,OP-12,Waste Generation and Recovery,Operations,Environmental,12.1 Non-hazardous waste generated per person,,Full-time equivalent students and employees,,25245.0,tudublin,,,,False,False,True
Technological University Dublin,OP-12,Waste Generation and Recovery,Operations,Environmental,12.2 Non-hazardous waste generated per square meter,,Gross floor area of building space,Square meters,210887.0,tudublin,,,,False,False,True
Technological University Dublin,OP-12,Waste Generation and Recovery,Operations,Environmental,12.1 Non-hazardous waste generated per person,,Non-hazardous waste composted,Metric tons,56.01,tudublin,GRI 306,306-4,component,True,False,True
Technological University Dublin,OP-12,Waste Generation and Recovery,Operations,Environmental,12.1 Non-hazardous waste generated per person,,Non-hazardous waste disposed of to a landfill or incinerator,Metric tons,316.21,tudublin,GRI 306,306-5,component,True,False,True
Technological University Dublin,OP-12,Waste Generation and Recovery,Operations,Environmental,12.1 Non-hazardous waste generated per person,,Non-hazardous waste prepared for reuse,Metric tons,704.9,tudublin,GRI 306,306-4,component,True,False,True
