institution,credit_code,credit_name,category,category_code,pillar,status,score,max,institution_key,pct_of_max
Technological University Dublin,AC-1,Sustainability Course Offerings,Academics,AC,Context,Complete,14.0,14.0,tudublin,100.0
Technological University Dublin,AC-2,Undergraduate Programs,Academics,AC,Context,Complete,13.28,15.0,tudublin,88.5
Technological University Dublin,AC-3,Graduate Programs,Academics,AC,Context,Complete,8.0,8.0,tudublin,100.0
Technological University Dublin,AC-4,Applied Learning,Academics,AC,Context,Complete,4.0,4.0,tudublin,100.0
Technological University Dublin,AC-5,Sustainability Literacy Assessment,Academics,AC,Context,Complete,1.58,4.0,tudublin,39.5
Technological University Dublin,AC-6,Sustainability Research,Academics,AC,Context,Complete,10.0,10.0,tudublin,100.0
Technological University Dublin,AC-7,Center for Sustainability Research,Academics,AC,Context,Complete,6.0,6.0,tudublin,100.0
Technological University Dublin,AC-8,Responsible Research and Innovation,Academics,AC,Context,Complete,7.0,7.0,tudublin,100.0
Technological University Dublin,EN-1,Outreach and Communications,Engagement,EN,Context,Complete,5.0,5.0,tudublin,100.0
Technological University Dublin,EN-2,Co-Curricular Activities,Engagement,EN,Context,Complete,9.0,9.0,tudublin,100.0
Technological University Dublin,EN-3,Staff Engagement and Training,Engagement,EN,Context,Complete,8.0,8.0,tudublin,100.0
Technological University Dublin,EN-4,Sustainability Culture Assessment,Engagement,EN,Context,Complete,2.0,3.0,tudublin,66.7
Technological University Dublin,EN-5,Civic Engagement,Engagement,EN,Context,Complete,4.5,8.0,tudublin,56.2
Technological University Dublin,EN-6,Community Partnerships,Engagement,EN,Context,Complete,7.0,9.0,tudublin,77.8
Technological University Dublin,EN-7,Continuing Education,Engagement,EN,Context,Complete,3.0,3.0,tudublin,100.0
Technological University Dublin,EN-8,Shared Facilities,Engagement,EN,Context,Complete,2.0,2.0,tudublin,100.0
Technological University Dublin,EN-9,Inter-Campus Collaboration,Engagement,EN,Context,Complete,3.0,3.0,tudublin,100.0
Technological University Dublin,IL-11,Green Events Program,Innovation & Leadership,IL,Bonus,Complete,0.0,1.0,tudublin,0.0
Technological University Dublin,IL-12,Green Laboratory Program,Innovation & Leadership,IL,Bonus,Complete,0.5,1.0,tudublin,50.0
Technological University Dublin,IL-18,Continuing Education Inventory,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,tudublin,100.0
Technological University Dublin,IL-3,Sustainability Course Inventory,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,tudublin,100.0
Technological University Dublin,IL-30,Energy System Certification,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,tudublin,100.0
Technological University Dublin,IL-31,GHG Verification,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,tudublin,100.0
Technological University Dublin,IL-48,Shared Mobility Program,Innovation & Leadership,IL,Bonus,Complete,0.5,1.0,tudublin,50.0
Technological University Dublin,IL-52,Sustainability-Equity Coordination,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,tudublin,100.0
Technological University Dublin,IL-56,Open and Shared Course Materials,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,tudublin,100.0
Technological University Dublin,IL-58,Universal Design,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,tudublin,100.0
Technological University Dublin,IL-6,Sustainability Research Inventory,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,tudublin,100.0
Technological University Dublin,IL-62,Pay Scale Equity,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,tudublin,100.0
Technological University Dublin,IL-8,Open Access Journal Hosting,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,tudublin,100.0
Technological University Dublin,OP-1,Building Design and Construction,Operations,OP,Environmental,Complete,1.38,3.0,tudublin,46.0
Technological University Dublin,OP-10,Purchased Goods,Operations,OP,Environmental,Complete,2.75,4.0,tudublin,68.8
Technological University Dublin,OP-11,Materials Management,Operations,OP,Environmental,Complete,2.25,4.0,tudublin,56.2
Technological University Dublin,OP-12,Waste Generation and Recovery,Operations,OP,Environmental,Complete,3.94,5.0,tudublin,78.8
Technological University Dublin,OP-13,Vehicle Fleet,Operations,OP,Environmental,Complete,2.0,2.0,tudublin,100.0
Technological University Dublin,OP-14,Commute Modal Split,Operations,OP,Environmental,Complete,5.39,6.0,tudublin,89.8
Technological University Dublin,OP-15,Air Travel,Operations,OP,Environmental,Complete,0.0,2.0,tudublin,0.0
Technological University Dublin,OP-2,Building Operations and Maintenance,Operations,OP,Environmental,Complete,1.97,5.0,tudublin,39.4
Technological University Dublin,OP-3,Water Use,Operations,OP,Environmental,Complete,4.33,6.0,tudublin,72.2
Technological University Dublin,OP-4,Ecologically Managed Grounds,Operations,OP,Environmental,Complete,0.69,5.0,tudublin,13.8
Technological University Dublin,OP-5,Energy Use,Operations,OP,Environmental,Complete,6.34,10.0,tudublin,63.4
Technological University Dublin,OP-6,Greenhouse Gas Emissions,Operations,OP,Environmental,Complete,10.79,16.0,tudublin,67.4
Technological University Dublin,OP-7,Dining Service Procurement,Operations,OP,Environmental,Complete,4.54,8.0,tudublin,56.8
Technological University Dublin,OP-8,Food Recovery,Operations,OP,Environmental,Complete,2.0,2.0,tudublin,100.0
Technological University Dublin,OP-9,Sustainable Procurement System,Operations,OP,Environmental,Complete,2.4,7.0,tudublin,34.3
Technological University Dublin,PA-1,Sustainability Coordination,Planning & Administration,PA,Governance,Complete,1.0,1.0,tudublin,100.0
Technological University Dublin,PA-10,Student Success,Planning & Administration,PA,Social,Complete,2.91,3.0,tudublin,97.0
Technological University Dublin,PA-11,"Health, Safety and Wellbeing",Planning & Administration,PA,Social,Complete,3.0,3.0,tudublin,100.0
Technological University Dublin,PA-12,Employee Rights,Planning & Administration,PA,Social,Complete,3.0,3.0,tudublin,100.0
Technological University Dublin,PA-13,Pay Equity and Living Wage,Planning & Administration,PA,Social,Complete,4.8,5.0,tudublin,96.0
Technological University Dublin,PA-2,Commitments and Planning,Planning & Administration,PA,Governance,Complete,5.67,6.0,tudublin,94.5
Technological University Dublin,PA-3,Institutional Governance,Planning & Administration,PA,Governance,Complete,4.0,4.0,tudublin,100.0
Technological University Dublin,PA-4,Sustainable Investment Program,Planning & Administration,PA,Governance,Not Applicable,,,tudublin,
Technological University Dublin,PA-5,Investment Holdings,Planning & Administration,PA,Governance,Not Applicable,,,tudublin,
Technological University Dublin,PA-6,Institutional Climate,Planning & Administration,PA,Social,Complete,3.0,3.0,tudublin,100.0
Technological University Dublin,PA-7,Racial and Ethnic Representation,Planning & Administration,PA,Social,Complete,0.86,3.0,tudublin,28.7
Technological University Dublin,PA-8,Gender Parity,Planning & Administration,PA,Social,Complete,0.33,2.0,tudublin,16.5
Technological University Dublin,PA-9,Affordability and Access,Planning & Administration,PA,Social,Complete,2.5,3.0,tudublin,83.3
