institution,gri_disclosure,gri_title,relationship,stars_credit,stars_field,value,units,populated
"University of California, Berkeley",2-1,Organizational details,component,PRE-3,Institutional control,Public,,True
"University of California, Berkeley",2-2,Entities included in the organization’s sustainability reporting,component,PRE-3,Narrative outlining the institutional boundary used to complete this report,"The institutional boundary used in this report includes those for operational purposes the campus retains operational control. This includes UC Berkeley's main campus covering 178 acres in the City of Berkeley, the Hill campus east and adjacent to the main campus, the Richmond Field Station and other stations/reserves operated by the campus, and buildings owned by the campus in various locations.",,True
"University of California, Berkeley",2-3,"Reporting period, frequency and contact point",partial,OP-6,Performance year for scope 1 and 2 GHG emissions,2023,,True
"University of California, Berkeley",2-3,"Reporting period, frequency and contact point",partial,PRE-4,List of personnel who led the reporting process,"Marina Zdobnova, Sustainability Data and Program Manager, Office of Sustainability Ashley Smiley, Postodoctoral Fellow, Office of Sustainabiltiy",,True
"University of California, Berkeley",2-5,External assurance,component,PRE-4,Were any independent audits or external assurance processes used in the preparation of this report?,No,,True
"University of California, Berkeley",2-5,External assurance,component,PRE-4,Narrative outlining the independent audits or external assurance processes used in the preparation of this report,,,False
"University of California, Berkeley",2-6,"Activities, value chain and other business relationships",partial,PRE-3,Which of the following features are included within the institutional boundary?,Museum,,True
"University of California, Berkeley",2-7,Employees,partial,PRE-3,Full-time equivalent of employees,"13,678",,True
"University of California, Berkeley",2-9,Governance structure and composition,component,PA-3,Are one or more academic staff representatives included as members of the institution’s highest decision-making body?,Yes,,True
"University of California, Berkeley",2-9,Governance structure and composition,component,PA-3,Are one or more staff members representing non-managerial workers included as members of the institution’s highest decision-making body?,Yes,,True
"University of California, Berkeley",2-9,Governance structure and composition,component,PA-3,Are one or more student representatives included as members of the institution’s highest decision-making body?,Yes,,True
"University of California, Berkeley",2-9,Governance structure and composition,component,PA-3,Narrative and/or website URL outlining academic staff representation on the institution’s highest decision-making body,"UC Berkeley has ongoing bodies through which academic staff can democratically participate in the governance of the institution, with the primary example being the Academic Senate. The Berkeley Division of the Academic Senate is part of the broader University of California Academic Senate, which serves as the primary governance body for faculty across the UC system. The Academic Senate allows academic staff to participate democratically in university governance through elections, committees, and representative councils. UC faculty in the Academic Senate carry out shared-governance responsibilities established by The Regents. The Senate is empowered by UC's governing body, the Board of Regents, to exercise direct control over academic matters of central importance to the University – to determine academic policy, set conditions for admission and the granting of degrees, authorize and supervise courses and curricula; and to advise the administration on faculty appointments, promotions and budgets. The Systemwide Academic Senate and the ten Divisional Senates (one for each UC campus) provide the organizational framework that enables the faculty to exercise its right to participate in the University's governance. The faculty voice is formed through a deliberative process that includes the Standing Committees of the Senate, the Academic Council, the Assembly of the Academic Senate, and their Divisional counterparts. Consultation with the senior administration occurs in a parallel structure: at the systemwide level between the Academic Council Chair and the President; and on the campus level between the Divisional Senate Chairs and the Chancellors. With some exceptions and as defined by the Standing Order of the Regents 105.1, Senate membership is granted to individuals who have a ladder-rank or other selected academic appointment at the University.",,True
"University of California, Berkeley",2-13,Delegation of responsibility for managing impacts,component,PA-1,Does the institution have one or more sustainability officers?,Yes,,True
"University of California, Berkeley",2-13,Delegation of responsibility for managing impacts,component,PA-1,"Is at least one of the institution’s sustainability committees, officers, or offices charged with coordinating various campus constituencies in the advancement of sustainability across the entire institution?",Yes,,True
"University of California, Berkeley",2-13,Delegation of responsibility for managing impacts,component,PA-1,Narrative and/or website URL providing an overview of the institution’s sustainability officers,"UC Berkeley’s Office of Sustainability is led by a dedicated team committed to advancing the campus's sustainability goals and meeting its climate commitments. The team, headed by the Chief Sustainability and Carbon Solutions Officer, collaborates with departments and stakeholders across UC Berkeley to develop strategies that reduce greenhouse gas emissions, enhance sustainable purchasing, and foster environmental responsibility in daily operations. UC Berkeley has several Sustainability Officers in the Office of Sustainability, HAAS, and SERC. https://sustainability.berkeley.edu/office-sustainability/our-team",,True
"University of California, Berkeley",2-14,Role of the highest governance body in sustainability reporting,partial,PRE-1,Executive cover letter,STARS_3.0_Executive_letter.pdf,,True
